id_sousbranche,sousbranche,sousbranche_trad,id_branche
1,The Nuclear Family ,La famille nucléaire ,1
2,The Extended Family ,La famille étendue ,1
3,Board Games ,Les jeux de société ,7
4,Artistic and Plastic Activities ,Activités artistiques et plastiques,7
5,Imagination and Fantasy ,Imagination et fantaisie ,7
6,Authority ,L'autorité ,19
7,Lack of Discipline ,L'indiscipline ,19
8,Knowledge ,"Le savoir, les connaissances ",20
9,Abilities ,Les capacités ,20
10,Electoral Systems ,Les systèmes électoraux ,32
11,The Election Campaign ,La campagne électorale ,32
12,Balloting ,Le scrutin ,32
13,Parliamentary Practices ,Les pratiques parlementaires,33
14,The British Parliament ,Le parlement britannique ,33
15,The American Parliament ,Le parlement américain ,33
16,The French Parliament ,Le parlement français ,33
17,General Structures ,Les structures générales ,35
18,The Budget ,Le budget ,35
19,The British Government ,Le gouvernement britannique,35
20,The American Government ,Le gouvernement américain,35
21,The French Government ,Le gouvernement français ,35
22,The Verdict ,Le verdict ,38
23,Imprisonment ,L'incarcération ,38
24,Death Penalty ,La peine de mort ,38
25,Duration ,La durée ,43
26,Frequency ,La fréquence ,43
27,Past Times ,Le passé ,44
28,The Expression of the Past ,L'expression du passé ,44
29,The Present ,Le présent ,44
30,The Future ,"Le futur, l''avenir",44
31,The Universe ,L'univers ,68
32,The Solar System ,Le système solaire,68
33,Astronomy ,L'astronomie ,68
34,The Blue Planet ,La planète bleue ,69
35,The Mainland ,La terre ferme ,69
36,Water ,L'eau ,69
37,Climate ,Les climats ,70
38,Water ,L'eau ,70
39,Air ,L'air ,70
40,The Land Forces ,L'armée de terre ,78
41,The Navy ,La marine de guerre ,78
42,The Air Force ,L'armée de l'air ,78
43,Armaments ,L'armement ,81
44,Conventional Weapons ,Les armes conventionnelles ,81
45,Non-conventional Weapons ,Les armes non-conventionnelles,81
46,The Casualties ,Les victimes ,85
47,War crimes ,Les crimes de guerre ,85
48,Endangered Animal Species ,Les espèces animales menacées,100
49,Threats ,Les menaces ,100
50,Global Damage ,Les dégâts à l'échelle mondiale ,102
51,Air Pollution ,La pollution atmosphérique ,102
52,Climate Changes ,Les modifications du climat ,102
53,Scarcity and Surplus ,Pénurie et excédent ,102
54,Water Pollution ,La pollution des eaux ,102
55,Waste ,Les déchets ,102
56,A Language ,Une langue ,107
57,The Register ,Le registre ,107
58,Conversation ,La conversation ,112
59,Disagreement ,Le désaccord ,112
60,Presentation ,La présentation ,114
61,Persuasion ,La persuasion ,114
62,Congratulations ,Les félicitations ,114
63,Humour ,L'humour ,114
64,Forms of Love ,Les formes d'amour ,122
65,Love Rituals ,Les rituels amoureux ,122
66,Marriage and Union ,Le mariage et l'union ,122
67,Physical Love ,L'amour physique ,123
68,Sexual Freedom ,La liberté sexuelle ,123
69,Discrimination against Individuals ,La discrimination envers les individus,134
70,Racism ,Le racisme ,134
