1,the family cell,la cellule familiale,a relative / a parent,un parent (sens large) / père ou mère,1,0,1,1,1,1,1
2,0,0,0,0,2,0,1,1,1,1,1
3,0,0,NULL,NULL,3,0,1,1,1,1,1
4,0,0,NULL,NULL,3,0,1,1,1,1,1
5,0,0,0,0,3,0,1,1,1,1,1
6,0,0,0,0,3,0,1,1,1,1,1
7,0,0,NULL,NULL,3,0,1,1,1,1,1
8,0,0,NULL,NULL,4,0,1,1,1,1,1
9,0,0,NULL,NULL,4,0,1,1,1,1,1
10,0,0,NULL,NULL,4,0,1,1,1,1,1
11,0,0,0,0,4,0,1,1,1,1,1
12,0,0,NULL,NULL,4,0,1,1,1,1,1
13,0,0,NULL,NULL,5,0,1,1,1,1,1
14,0,0,NULL,NULL,5,0,1,1,1,1,1
15,0,0,NULL,NULL,5,0,1,1,1,1,1
16,0,0,0,0,5,0,1,1,1,1,1
17,0,0,NULL,NULL,5,0,1,1,1,1,1
18,0,0,NULL,NULL,5,0,1,1,1,1,1
19,0,0,NULL,NULL,5,0,1,1,1,1,1
20,0,0,NULL,NULL,5,0,1,1,1,1,1
21,0,0,NULL,NULL,5,0,1,1,1,1,1
22,0,0,NULL,NULL,6,0,1,1,1,1,1
23,0,0,NULL,NULL,7,0,1,1,1,1,1
24,0,0,NULL,NULL,8,1,1,1,1,1,2
25,0,0,0,0,9,1,1,1,1,1,2
26,0,0,NULL,NULL,9,1,1,1,1,1,2
27,0,0,NULL,NULL,10,1,1,1,1,1,2
28,0,0,NULL,NULL,11,1,1,1,1,1,2
29,0,0,NULL,NULL,12,1,1,1,1,1,2
30,0,0,NULL,NULL,13,1,1,1,1,1,2
31,0,0,NULL,NULL,14,1,1,1,1,1,2
32,0,0,NULL,NULL,14,1,1,1,1,1,2
33,0,0,NULL,NULL,14,1,1,1,1,1,2
34,0,0,NULL,NULL,14,1,1,1,1,1,2
35,0,0,NULL,NULL,15,2,1,1,1,1,2
36,0,0,NULL,NULL,16,2,1,1,1,1,2
37,0,0,NULL,NULL,16,2,1,1,1,1,2
38,0,0,NULL,NULL,17,3,1,1,1,2,0
39,0,0,NULL,NULL,17,3,1,1,1,2,0
40,0,0,NULL,NULL,17,3,1,1,1,2,0
41,0,0,NULL,NULL,17,3,1,1,1,2,0
42,0,0,0,0,17,3,1,1,1,2,0
43,0,0,0,_,18,3,1,1,1,2,0
44,0,0,NULL,NULL,18,3,1,1,1,2,0
45,0,0,,_,18,3,1,1,1,2,0
46,0,0,NULL,NULL,18,3,1,1,1,2,0
47,0,0,NULL,NULL,18,3,1,1,1,2,0
48,0,0,NULL,NULL,19,3,1,1,1,2,0
49,0,0,NULL,NULL,19,3,1,1,1,2,0
50,0,0,0,0,19,3,1,1,1,2,0
51,0,0,NULL,NULL,19,3,1,1,1,2,0
52,0,0,NULL,NULL,20,3,1,1,1,2,0
53,0,0,NULL,NULL,20,3,1,1,1,2,0
54,0,0,0,0,20,3,1,1,1,2,0
55,0,0,NULL,NULL,20,3,1,1,1,2,0
56,0,0,0,0,21,3,1,1,1,2,0
